source_unique_id,source_id,source_name,source_description,source_url,source_category,source_language,source_country,source_logo,source_feedsort,source_rating,source_visits,source_liveuser,source_likeid,source_unlikeid,source_commentid,source_shareid
71,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Cricket,3,3,6,,,,,,,,,
72,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Cricket/International,3,3,6,,,,,,,,,
73,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Cricket/International/ODI,3,3,6,,,,,,,,,
74,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Cricket/International/News,3,3,6,,,,,,,,,
75,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Cricket/Domestic/Test-Cricket,3,3,6,,,,,,,,,
76,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Cricket/Domestic,3,3,6,,,,,,,,,
77,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Football,3,3,6,,,,,,,,,
78,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Football/International,3,3,6,,,,,,,,,
79,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Football/International/Series,3,3,6,,,,,,,,,
80,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Football/International/News,3,3,6,,,,,,,,,
81,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Football/Domestic,3,3,6,,,,,,,,,
82,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Tennis,3,3,6,,,,,,,,,
83,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Tennis/International,3,3,6,,,,,,,,,
84,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Tennis/International/Series,3,3,6,,,,,,,,,
85,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Tennis/International/News,3,3,6,,,,,,,,,
86,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Tennis/Domestic,3,3,6,,,,,,,,,
87,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Tennis/Domestic/News,3,3,6,,,,,,,,,
88,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Hockey,3,3,6,,,,,,,,,
89,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Hockey/International,3,3,6,,,,,,,,,
90,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Hockey/International/News,3,3,6,,,,,,,,,
91,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Hockey/Domestic,3,3,6,,,,,,,,,
92,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Badminton/International,3,3,6,,,,,,,,,
93,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Badminton/International/International-Badminton,3,3,6,,,,,,,,,
94,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Badminton/Domestic,3,3,6,,,,,,,,,
95,Dinamalar,Dinamalar,,http://sports.dinamalar.com/rss/Other-Sports/Others,3,3,6,,,,,,,,,
96,Dinamalar,Dinamalar,,http://cinema.dinamalar.com/rss.php,6,3,6,,,,,,,,,
97,Dinamalar,Dinamalar,,http://rss.dinamalar.com/?cat=INL1,,3,6,,,,,,,,,
98,Dinamalar,Dinamalar,,http://rss.dinamalar.com/?cat=business1,4,3,6,,,,,,,,,
99,Dinamalar,Dinamalar,,http://rss.dinamalar.com/Delhinews.asp,1,3,6,,,,,,,,,
100,Dinamalar,Dinamalar,,http://rss.dinamalar.com/?cat=kut1,1,3,6,,,,,,,,,
101,Dinamalar,Dinamalar,,http://rss.dinamalar.com/?cat=sam1,1,3,6,,,,,,,,,
102,Dinamalar,Dinamalar,,http://rss.dinamalar.com/tamilnadunews.asp,1,3,6,,,,,,,,,
103,Dinamalar,Dinamalar,,http://rss.dinamalar.com/?cat=pot1,1,3,6,,,,,,,,,
104,Dinamalar,Dinamalar,,http://rss.dinamalar.com/?cat=ara1,1,3,6,,,,,,,,,
105,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/RssKollywood.aspx,6,3,6,,,,,,,,,
106,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/RssBollywood.aspx,6,3,6,,,,,,,,,
107,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/Rsshollywood.aspx,6,3,6,,,,,,,,,
108,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/RssGossip.aspx,6,3,6,,,,,,,,,
109,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/RssKKodangi.aspx,6,3,6,,,,,,,,,
110,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/RssReview.aspx,6,3,6,,,,,,,,,
111,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/RssSSaroja.aspx,6,3,6,,,,,,,,,
112,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/RssInterview.aspx,6,3,6,,,,,,,,,
113,Dinakaran,Dinakaran,,http://cinema.dinakaran.com/Rss/RssTelevision.aspx,6,3,6,,,,,,,,,
114,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_Latest.asp,1,3,6,,,,,,,,,
115,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_news.asp?id=8,1,3,6,,,,,,,,,
116,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_news.asp?id=13,1,3,6,,,,,,,,,
117,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_news.asp?id=45,1,3,6,,,,,,,,,
118,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_aanmeegam.asp,1,3,6,,,,,,,,,
119,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=1&cat=504,1,3,6,,,,,,,,,
120,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=3&cat=504,1,3,6,,,,,,,,,
121,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=9&cat=504,1,3,6,,,,,,,,,
122,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=4&cat=504,1,3,6,,,,,,,,,
123,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=29&cat=504,1,3,6,,,,,,,,,
124,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=26&cat=504,1,3,6,,,,,,,,,
125,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=27&cat=504,1,3,6,,,,,,,,,
126,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=31&cat=504,1,3,6,,,,,,,,,
127,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=32&cat=504,1,3,6,,,,,,,,,
128,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=16&cat=504,1,3,6,,,,,,,,,
129,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=28&cat=504,1,3,6,,,,,,,,,
130,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=15&cat=504,1,3,6,,,,,,,,,
131,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=8&cat=504,1,3,6,,,,,,,,,
132,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=12&cat=504,1,3,6,,,,,,,,,
133,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=19&cat=504,1,3,6,,,,,,,,,
134,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=41&cat=504,1,3,6,,,,,,,,,
135,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=22&cat=504,1,3,6,,,,,,,,,
136,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=10&cat=504,1,3,6,,,,,,,,,
137,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=11&cat=504,1,3,6,,,,,,,,,
138,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=13&cat=504,1,3,6,,,,,,,,,
139,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=23&cat=504,1,3,6,,,,,,,,,
140,Dinakaran,Dinakaran,,http://www.dinakaran.com/rss_districts.asp?id=17&cat=504,1,3,6,,,,,,,,,
